Date,AAPL.US,MSFT.US,GOOGL.US,META.US,JNJ.US,UNH.US,PFE.US,JPM.US,BAC.US,BLK.US,GS.US,AMZN.US,HD.US,MCD.US,CAT.US,LMT.US,HON.US,XOM.US,CVX.US,COP.US
2015-11-02,27.2974,46.6449,37.2519,103.31,84.2303,101.981,26.8785,53.8456,14.7834,278.853,166.097,31.4175,105.357,93.4623,61.2408,180.812,79.7925,60.4851,69.3738,45.1194
2015-11-03,27.6167,47.445,37.3057,102.58,84.0568,101.117,26.8102,54.0412,14.8865,281.92,167.009,31.2655,106.416,93.4437,61.5763,179.418,79.3782,61.5986,71.6971,46.5921
2015-11-04,27.4817,47.6638,37.6291,103.94,84.0401,98.5145,26.3847,54.0962,14.7391,280.369,167.822,32.0475,106.152,93.7171,61.4095,179.349,79.1733,60.98,70.6944,46.2685
2015-11-05,27.3595,47.647,37.8962,108.76,84.3647,99.8998,26.3944,54.5816,14.9984,280.988,168.165,32.7825,106.476,94.0869,61.1402,179.193,79.3494,60.1515,69.0753,46.2202
2015-11-06,27.3929,48.12,37.9424,107.1,84.0224,98.6574,26.2236,56.2428,15.5533,280.545,174.427,32.9685,106.683,94.4666,60.8275,177.553,79.6575,59.9103,68.6959,45.7998
2015-11-09,27.2747,47.4519,37.6021,106.49,83.1319,98.1734,26.006,55.3655,15.3176,274.916,172.311,32.7745,105.416,94.1518,59.2215,175.964,78.66,58.6295,67.4445,44.8739
2015-11-10,26.4184,46.8823,37.776,107.91,83.6449,99.6049,26.1153,55.6003,15.4679,275.471,173.212,32.984,106.044,94.3879,59.6654,175.493,78.4246,58.9115,68.1087,44.8827
2015-11-11,26.2714,47.0064,38.1243,109.01,83.9715,98.4305,26.0792,55.3302,15.3805,275.663,172.858,33.6625,105.583,94.922,59.2373,176.318,79.0814,58.3932,67.3479,43.8873
2015-11-12,26.1818,46.7164,37.6898,108.02,82.6692,96.9562,25.8079,54.222,15.0505,271.915,168.821,33.28,104.857,93.4623,56.558,175.061,78.1032,56.811,65.6479,42.6803
2015-11-13,25.412,46.2953,36.8698,103.95,82.3406,95.7417,25.7143,53.8614,14.9052,269.927,166.725,32.1175,101.628,91.6734,57.36,174.708,77.4176,55.8734,64.7896,42.5633
2015-11-16,25.831,47.102,37.3855,104.04,83.4527,97.8123,25.6283,54.6424,15.1045,277.106,168.292,32.3905,102.325,92.5861,57.9864,180.849,78.8538,57.8768,67.626,44.6518
2015-11-17,25.7245,46.7231,37.1642,105.13,83.6832,98.2871,25.4059,54.329,15.0957,277.947,166.9,32.165,106.86,92.4857,57.1607,182.272,78.7995,57.2077,67.3177,44.267
2015-11-18,26.5297,47.4987,37.8632,107.77,84.6373,100.765,25.7425,55.4146,15.4599,283.631,169.596,33.177,107.144,93.7998,57.9262,182.969,80.1569,57.7639,68.1877,44.7405
