Date,AAPL.US,MSFT.US,GOOGL.US,META.US,NVDA.US,ADBE.US,CSCO.US,CRM.US,JNJ.US,UNH.US,PFE.US,ABBV.US,MRK.US,LLY.US,TMO.US,JPM.US,BAC.US,BLK.US,GS.US,WFC.US,C.US,SPGI.US,AMZN.US,HD.US,MCD.US,LOW.US,NKE.US,SBUX.US,CAT.US,LMT.US,HON.US,GE.US,UNP.US,BA.US,XOM.US,CVX.US,COP.US,SLB.US,EOG.US,MPC.US
2015-11-02,27.2974,46.6449,37.2519,103.31,0.697568,89.91,23.0731,79.2,84.2303,101.981,26.8785,46.6741,41.6216,70.3123,131.773,53.8456,14.7834,278.853,166.097,44.4272,44.8437,85.7143,31.4175,105.357,93.4623,65.1157,60.7392,54.2018,61.2408,180.812,79.7925,166.467,75.9207,132.25,60.4851,69.3738,45.1194,64.0125,70.8708,40.9733
2015-11-03,27.6167,47.445,37.3057,102.58,0.692735,90.36,22.9425,78.63,84.0568,101.117,26.8102,45.9758,41.6216,69.9953,131.493,54.0412,14.8865,281.92,167.009,44.4903,45.1207,90.7891,31.2655,106.416,93.4437,65.273,60.8334,54.6887,61.5763,179.418,79.3782,167.567,75.5807,132.0,61.5986,71.6971,46.5921,65.6978,72.832,42.2949
2015-11-04,27.4817,47.6638,37.6291,103.94,0.681423,91.01,22.8325,78.39,84.0401,98.5145,26.3847,46.9859,41.9392,69.4633,132.441,54.0962,14.7391,280.369,167.822,44.51,44.8437,90.4069,32.0475,106.152,93.7171,64.5253,60.3485,53.9573,61.4095,179.349,79.1733,167.259,75.1444,132.89,60.98,70.6944,46.2685,64.7232,71.2053,42.4284
2015-11-05,27.3595,47.647,37.8962,108.76,0.673585,90.55,22.8001,78.71,84.3647,99.8998,26.3944,46.2258,41.5743,69.0889,132.162,54.5816,14.9984,280.988,168.165,44.74,45.111,90.676,32.7825,106.476,94.0869,64.9466,61.0476,54.2371,61.1402,179.193,79.3494,167.814,74.3113,132.69,60.1515,69.0753,46.2202,63.5065,71.2053,43.0863
2015-11-06,27.3929,48.12,37.9424,107.1,0.766897,90.69,22.8158,79.41,84.0224,98.6574,26.2236,47.2271,41.2412,68.959,131.533,56.2428,15.5533,280.545,174.427,45.5481,46.5421,91.6819,32.9685,106.683,94.4666,64.5599,61.0108,53.9643,60.8275,177.553,79.6575,169.421,73.2629,132.67,59.9103,68.6959,45.7998,63.714,70.2163,43.3357
2015-11-09,27.2747,47.4519,37.6021,106.49,0.76348,89.8,22.5998,78.22,83.1319,98.1734,26.006,46.5632,40.9626,68.015,131.533,55.3655,15.3176,274.916,172.311,45.2373,46.408,89.4487,32.7745,105.416,94.1518,63.5709,60.406,53.5911,59.2215,175.964,78.66,168.447,73.424,130.92,58.6295,67.4445,44.8739,62.7888,70.2989,42.0574
2015-11-10,26.4184,46.8823,37.776,107.91,0.74888,90.28,22.4388,78.25,83.6449,99.6049,26.1153,45.8777,41.107,69.0512,133.221,55.6003,15.4679,275.471,173.212,45.5955,46.4844,89.3664,32.984,106.044,94.3879,64.734,60.1899,54.3225,59.6654,175.493,78.4246,170.539,72.2893,130.18,58.9115,68.1087,44.8827,63.4817,71.2927,42.4049
2015-11-11,26.2714,47.0064,38.1243,109.01,0.741573,91.21,22.3111,78.71,83.9715,98.4305,26.0792,44.8194,40.57,69.6009,132.092,55.3302,15.3805,275.663,172.858,45.5057,45.7335,90.111,33.6625,105.583,94.922,63.6589,58.9919,54.0535,59.2373,176.318,79.0814,173.675,71.8923,130.03,58.3932,67.3479,43.8873,62.5605,68.6071,42.4668
2015-11-12,26.1818,46.7164,37.6898,108.02,0.738896,90.84,22.317,78.3,82.6692,96.9562,25.8079,44.3575,40.052,68.8799,129.716,54.222,15.0505,271.915,168.821,44.9916,44.5344,88.9036,33.28,104.857,93.4623,64.1821,58.3275,53.3526,56.558,175.061,78.1032,170.767,71.5318,127.83,56.811,65.6479,42.6803,61.7322,67.2666,42.3607
2015-11-13,25.412,46.2953,36.8698,103.95,0.72436,89.02,21.0199,75.6,82.3406,95.7417,25.7143,44.0829,40.052,68.6114,129.606,53.8614,14.9052,269.927,166.725,44.5012,44.2936,87.991,32.1175,101.628,91.6734,61.868,56.4206,52.1941,57.36,174.708,77.4176,171.449,71.3864,127.88,55.8734,64.7896,42.5633,61.3597,67.7273,41.5595
